Date : 2023-01-23 00:21:04
Directory : c:\Users\PHPDots\Desktop\emfi-nextjs
Total : 140 files,  1339 codes, 349 comments, 185 blanks, all 1873 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\pages\[lang]                                                                                            |         18 |       -132 |        285 |         20 |        173 |
| src\pages\[lang] (Files)                                                                                    |          8 |       -381 |        217 |          2 |       -162 |
| src\pages\[lang]\intelligence                                                                               |          5 |         63 |          8 |          5 |         76 |
| src\pages\[lang]\intelligence (Files)                                                                       |          1 |         35 |          8 |          4 |         47 |
| src\pages\[lang]\intelligence\[details]                                                                     |          2 |        212 |          3 |         10 |        225 |
| src\pages\[lang]\intelligence\[details] (Files)                                                             |          1 |         70 |          0 |          5 |         75 |
| src\pages\[lang]\intelligence\[details]\[inteligencedetails]                                                |          1 |        142 |          3 |          5 |        150 |
| src\pages\[lang]\intelligence\details                                                                       |          2 |       -184 |         -3 |         -9 |       -196 |
| src\pages\[lang]\intelligence\details (Files)                                                               |          1 |        -42 |          0 |         -4 |        -46 |
| src\pages\[lang]\intelligence\details\[inteligencedetails]                                                  |          1 |       -142 |         -3 |         -5 |       -150 |
| src\pages\[lang]\privacypolicy                                                                              |          2 |         53 |         59 |         10 |        122 |
| src\pages\[lang]\privacypolicy (Files)                                                                      |          1 |         34 |          0 |          5 |         39 |
| src\pages\[lang]\privacypolicy\[privacypolicy]                                                              |          1 |         19 |         59 |          5 |         83 |
| src\pages\[lang]\services                                                                                   |          3 |        133 |          1 |          3 |        137 |
| src\pages\[lang]\services (Files)                                                                           |          1 |         34 |         -1 |          0 |         33 |
| src\pages\[lang]\services\ourproducts                                                                       |          1 |         12 |          0 |          1 |         13 |
| src\pages\[lang]\services\ourservices                                                                       |          1 |         87 |          2 |          2 |         91 |
| src\styles                                                                                                  |         10 |        982 |         15 |         10 |      1,007 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                    | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\PHPDots\Desktop\emfi-nextjs\Dockerfile                                                             | Docker           |        -19 |        -14 |         -6 |        -39 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\appspec-dev.yaml                                                       | YAML             |          9 |          0 |          0 |          9 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\buildspec-dev.yml                                                      | YAML             |         46 |          0 |          4 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\helper\index.ts                                                        | TypeScript       |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\next.config.js                                                         | JavaScript       |          2 |         -1 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\package-lock.json                                                      | JSON             |        310 |          0 |          0 |        310 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\package.json                                                           | JSON             |         11 |          0 |          0 |         11 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\AssetManagement.svg                                             | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\FintechAsAService.svg                                           | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\Group 10808.svg                                                 | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\SalesTrading.svg                                                | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\WealthManagement.svg                                            | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\aljazeeracolor.svg                                              | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\aljazeeragrey.svg                                               | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\banks.svg                                                       | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\bloombergcolor.svg                                              | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\bloomberggrey.svg                                               | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\brokers.svg                                                     | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\candidates.svg                                                  | XML              |         86 |          0 |          1 |         87 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\chanthamhousecolor.svg                                          | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\chanthamhousegrey.svg                                           | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\clientconfidentiality.svg                                       | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\conflictsofinterest.svg                                         | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\corporatetreasuries.svg                                         | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\customercomplaints.svg                                          | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\customersuitability.svg                                         | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebonds copy.svg                                                 | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebondsblue.svg                                                  | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\efunds copy.svg                                                 | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\efundsblue.svg                                                  | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintel copy.svg                                                 | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintelblue.svg                                                  | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\email.svg                                                       | XML              |          4 |          0 |          1 |          5 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealth copy.svg                                                | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealthblue.svg                                                 | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\fintech.svg                                                     | XML              |         10 |          0 |          1 |         11 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\france24color.svg                                               | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\france24grey.svg                                                | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\hegdefunds.svg                                                  | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\insurancecompanies.svg                                          | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\mutualfunds.svg                                                 | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\offshoreinvestors.svg                                           | XML              |         43 |          0 |          1 |         44 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\onshoreinvestors.svg                                            | XML              |        147 |          0 |          1 |        148 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ouraproach.svg                                                  | XML              |        230 |          0 |          1 |        231 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourclients.svg                                                  | XML              |        137 |          0 |          1 |        138 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourservice.svg                                                  | XML              |        224 |          0 |          1 |        225 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourteamplaceholder.svg                                          | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourvalues.svg                                                   | XML              |         49 |          0 |          1 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\pensionfunds.svg                                                | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\reuterscolor.svg                                                | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\reutersgrey.svg                                                 | XML              |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\voacolor.svg                                                    | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\voagrey.svg                                                     | XML              |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\whyemfi.svg                                                     | XML              |         62 |          0 |          1 |         63 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\Group 10808.svg                          | XML              |         -6 |          0 |         -1 |         -7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\aljazeera color.svg                      | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\aljazeera grey.svg                       | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\bloomberg color.svg                      | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\bloomberg grey.svg                       | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\chantham house color.svg                 | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\chantham house grey.svg                  | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\france 24 color.svg                      | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\france 24 grey.svg                       | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\reuters color.svg                        | XML              |         -6 |          0 |         -1 |         -7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\voa color.svg                            | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\voa grey.svg                             | XML              |         -3 |          0 |         -1 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\candidates.svg                   | XML              |        -86 |          0 |         -1 |        -87 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\email.svg                        | XML              |         -4 |          0 |         -1 |         -5 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\ourvalues.svg                    | XML              |        -49 |          0 |         -1 |        -50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\clientconfidentiality.svg            | XML              |         -6 |          0 |         -1 |         -7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\conflictsofinterest.svg              | XML              |         -6 |          0 |         -1 |         -7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\customercomplaints.svg               | XML              |         -6 |          0 |         -1 |         -7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\customersuitability.svg              | XML              |         -6 |          0 |         -1 |         -7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ouraproach.svg                                | XML              |       -230 |          0 |         -1 |       -231 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ourclients.svg                                | XML              |       -137 |          0 |         -1 |       -138 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ourservice.svg                                | XML              |       -224 |          0 |         -1 |       -225 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianComponent.tsx               | TypeScript React |          3 |         -1 |         -1 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\TestDemo.jsx                          | JavaScript React |        130 |         26 |         18 |        174 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\ServiceCard\ServiceCard.tsx                       | TypeScript React |          4 |          0 |          0 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\LineChartComponent\DoubleLineChartComponent.tsx  | TypeScript React |        139 |          2 |          6 |        147 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\LineChartComponent\LineChartComponent.tsx        | TypeScript React |         36 |          0 |         -2 |         34 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Footer\Footer.tsx                                       | TypeScript React |         46 |          0 |          1 |         47 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSearch\HeroSearch.tsx                               | TypeScript React |         -2 |          0 |          0 |         -2 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\HeroSection.tsx                             | TypeScript React |         29 |         11 |          4 |         44 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroTextArea\HeroTextArea.tsx                           | TypeScript React |         13 |          0 |          0 |         13 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\LoginForm\LoginModal.tsx                                | TypeScript React |        210 |          1 |         12 |        223 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Navbar\Navbar.tsx                                       | TypeScript React |         11 |          1 |          3 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AboutEmfi\AboutEmfi.tsx                                 | TypeScript React |         -1 |          0 |          0 |         -1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AboutValues\AboutValues.tsx                             | TypeScript React |         23 |          0 |          1 |         24 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AsSeenIn\AsSeenIn.tsx                                   | TypeScript React |         35 |          0 |          0 |         35 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\DefaultLayout\DefaultLayout.tsx                         | TypeScript React |         15 |          5 |          0 |         20 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\MapContainer\MapContainer.tsx                           | TypeScript React |          5 |          2 |          0 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\MapContainer\MapWrapper.tsx                             | TypeScript React |         23 |          1 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\SwipeCarousel\SwipeCarousel.tsx                         | TypeScript React |          7 |          3 |         -1 |          9 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Services\api.ts                                                    | TypeScript       |         50 |          4 |          0 |         54 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Services\apiFunction.ts                                            | TypeScript       |         29 |          0 |          1 |         30 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\WaveScript\index.js                                                | JavaScript       |          0 |          0 |          1 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\aboutContent.ts                                          | TypeScript       |        460 |          1 |          7 |        468 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\aboutContent.tsx                                         | TypeScript React |       -325 |          0 |        -11 |       -336 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\globalContent.ts                                         | TypeScript       |         86 |          0 |          2 |         88 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\information.ts                                           | TypeScript       |       -400 |          0 |        -20 |       -420 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\intelligenceInfo.tsx                                     | TypeScript React |     -2,126 |          0 |         -1 |     -2,127 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\policies.ts                                              | TypeScript       |        422 |          0 |         83 |        505 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\productDetailsContent.ts                                 | TypeScript       |        326 |          0 |          9 |        335 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\routes.ts                                                | TypeScript       |         32 |          5 |          2 |         39 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceContent.ts                                        | TypeScript       |        164 |          0 |          5 |        169 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceContent.tsx                                       | TypeScript React |       -134 |          0 |         -8 |       -142 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceDetailsContent.ts                                 | TypeScript       |        332 |          0 |          8 |        340 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\slidesInformation.ts                                     | TypeScript       |          0 |          0 |          1 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\about.tsx                                             | TypeScript React |          7 |          0 |         -1 |          6 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\contact.tsx                                           | TypeScript React |          7 |          3 |          0 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\cookiespolicy.tsx                                     | TypeScript React |          6 |          0 |          2 |          8 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\index.tsx                                             | TypeScript React |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\[details]\[inteligencedetails]\index.tsx | TypeScript React |        142 |          3 |          5 |        150 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\[details]\index.tsx                      | TypeScript React |         70 |          0 |          5 |         75 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\details\[inteligencedetails]\index.tsx   | TypeScript React |       -142 |         -3 |         -5 |       -150 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\details\index.tsx                        | TypeScript React |        -42 |          0 |         -4 |        -46 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\index.tsx                                | TypeScript React |         35 |          8 |          4 |         47 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\policydocuments.tsx                                   | TypeScript React |         34 |          0 |          5 |         39 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy.tsx                                     | TypeScript React |       -229 |          0 |         -4 |       -233 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy\[privacypolicy]\index.tsx               | TypeScript React |         19 |         59 |          5 |         83 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy\index.tsx                               | TypeScript React |         34 |          0 |          5 |         39 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\scamalert.tsx                                         | TypeScript React |        -10 |          0 |          1 |         -9 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\index.tsx                                    | TypeScript React |         34 |         -1 |          0 |         33 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourproducts\[products].tsx                   | TypeScript React |         12 |          0 |          1 |         13 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourservices\[services].tsx                   | TypeScript React |         87 |          2 |          2 |         91 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\termsofuse.tsx                                        | TypeScript React |       -197 |        214 |         -1 |         16 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\index.tsx                                                    | TypeScript React |          2 |          3 |          1 |          6 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Details.module.scss                                         | SCSS             |         77 |          4 |          0 |         81 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Footer.module.scss                                          | SCSS             |         -6 |          2 |          0 |         -4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeroSection.module.scss                                     | SCSS             |          2 |          0 |          0 |          2 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\InputComponent.module.scss                                  | SCSS             |          3 |          0 |          0 |          3 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\LoginForm.module.scss                                       | SCSS             |         19 |          0 |          0 |         19 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\ServiceCard.module.scss                                     | SCSS             |         -6 |          0 |          0 |         -6 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Services.module.scss                                        | SCSS             |         19 |          1 |          0 |         20 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\globals.scss                                                | SCSS             |        621 |          4 |          6 |        631 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\inteligenceCountry.module.scss                              | SCSS             |        253 |          4 |          2 |        259 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\variable.scss                                               | SCSS             |          0 |          0 |          2 |          2 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\taskdef-dev.json                                                       | JSON             |         40 |          0 |          0 |         40 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\type.d.ts                                                              | TypeScript       |         76 |          0 |          6 |         82 |
| Total                                                                                                       |                  |      1,339 |        349 |        185 |      1,873 |
+-------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
