Date : 2023-01-23 00:21:04
Directory : c:\Users\PHPDots\Desktop\emfi-nextjs
Total : 289 files,  48220 codes, 557 comments, 872 blanks, all 49649 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     33,544 |          0 |          5 |     33,549 |
| TypeScript React   |         91 |      5,027 |        381 |        449 |      5,857 |
| SCSS               |         28 |      4,049 |        116 |         95 |      4,260 |
| TypeScript         |         16 |      2,920 |         20 |        147 |      3,087 |
| XML                |        140 |      2,414 |         11 |        134 |      2,559 |
| JavaScript React   |          1 |        130 |         26 |         18 |        174 |
| YAML               |          2 |         55 |          0 |          4 |         59 |
| JavaScript         |          3 |         35 |          3 |          4 |         42 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         20 |          0 |         15 |         35 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        289 |     48,220 |        557 |        872 |     49,649 |
| . (Files)                                                                                                                    |         11 |     11,172 |          3 |         32 |     11,207 |
| helper                                                                                                                       |          1 |         11 |          8 |          3 |         22 |
| public                                                                                                                       |         55 |     12,493 |          0 |         54 |     12,547 |
| src                                                                                                                          |        222 |     24,544 |        546 |        783 |     25,873 |
| src\Assets                                                                                                                   |         86 |      1,213 |         11 |         81 |      1,305 |
| src\Assets (Files)                                                                                                           |         33 |        431 |          3 |         32 |        466 |
| src\Assets\Aboutus                                                                                                           |         13 |        314 |          0 |         13 |        327 |
| src\Assets\Aboutus\OurClientIcon                                                                                             |          8 |         52 |          0 |          8 |         60 |
| src\Assets\Aboutus\OurTeamVectorIcons                                                                                        |          2 |         10 |          0 |          2 |         12 |
| src\Assets\Aboutus\WhyEMFIIcons                                                                                              |          3 |        252 |          0 |          3 |        255 |
| src\Assets\FooterandLines                                                                                                    |         17 |        213 |          4 |         15 |        232 |
| src\Assets\Intelligence                                                                                                      |          1 |          3 |          0 |          1 |          4 |
| src\Assets\Intelligence - After Login Angola                                                                                 |          5 |         27 |          0 |          5 |         32 |
| src\Assets\Legal - Cookies Policy                                                                                            |          2 |          6 |          0 |          2 |          8 |
| src\Assets\Services Icons and logos                                                                                          |          8 |         36 |          0 |          8 |         44 |
| src\Assets\footer-img                                                                                                        |          7 |        183 |          4 |          5 |        192 |
| src\Components                                                                                                               |         60 |     14,409 |         86 |        306 |     14,801 |
| src\Components\AccordianComponent                                                                                            |          2 |         76 |          0 |          8 |         84 |
| src\Components\AccordianComponent (Files)                                                                                    |          1 |         51 |          0 |          4 |         55 |
| src\Components\AccordianComponent\AccordianItemComponent.tsx                                                                 |          1 |         25 |          0 |          4 |         29 |
| src\Components\AnimatedComponent                                                                                             |          4 |        256 |         62 |         44 |        362 |
| src\Components\Badge                                                                                                         |          1 |         14 |          0 |          4 |         18 |
| src\Components\Cards                                                                                                         |          7 |        238 |          2 |         26 |        266 |
| src\Components\Cards\CustomCard                                                                                              |          1 |         16 |          0 |          5 |         21 |
| src\Components\Cards\CustomPriceCard                                                                                         |          1 |         44 |          0 |          4 |         48 |
| src\Components\Cards\MarketMoverCard                                                                                         |          1 |         80 |          2 |          3 |         85 |
| src\Components\Cards\PaperCard                                                                                               |          1 |         22 |          0 |          3 |         25 |
| src\Components\Cards\ServiceCard                                                                                             |          1 |         24 |          0 |          4 |         28 |
| src\Components\Cards\TeamMemberCard                                                                                          |          1 |         40 |          0 |          3 |         43 |
| src\Components\Cards\ValuesCard                                                                                              |          1 |         12 |          0 |          4 |         16 |
| src\Components\Charts                                                                                                        |          4 |     11,593 |          3 |         14 |     11,610 |
| src\Components\Charts\LineChartComponent                                                                                     |          2 |        273 |          3 |         11 |        287 |
| src\Components\Charts\WorldMapChart                                                                                          |          2 |     11,320 |          0 |          3 |     11,323 |
| src\Components\FloatModal                                                                                                    |          1 |         19 |          0 |          4 |         23 |
| src\Components\Footer                                                                                                        |          1 |        154 |          0 |          4 |        158 |
| src\Components\HeaderText                                                                                                    |          1 |         11 |          0 |          4 |         15 |
| src\Components\HeroSearch                                                                                                    |          1 |         69 |          0 |          8 |         77 |
| src\Components\HeroSection                                                                                                   |          5 |        561 |         11 |         28 |        600 |
| src\Components\HeroTextArea                                                                                                  |          1 |         47 |          0 |          4 |         51 |
| src\Components\Icons                                                                                                         |         23 |        662 |          3 |         96 |        761 |
| src\Components\InputComponent                                                                                                |          3 |         85 |          0 |         12 |         97 |
| src\Components\LoginForm                                                                                                     |          1 |        290 |          2 |         20 |        312 |
| src\Components\Navbar                                                                                                        |          1 |         73 |          2 |          8 |         83 |
| src\Components\ParticalBg                                                                                                    |          1 |        115 |          0 |          4 |        119 |
| src\Components\SelectComponent                                                                                               |          1 |         37 |          1 |          5 |         43 |
| src\Components\TableComponent                                                                                                |          1 |         47 |          0 |          6 |         53 |
