Date : 2023-01-23 00:21:04
Directory : c:\Users\PHPDots\Desktop\emfi-nextjs
Total : 289 files,  48220 codes, 557 comments, 872 blanks, all 49649 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\Components\WavyText                                                                                                      |          1 |         62 |          0 |          7 |         69 |
| src\Containers                                                                                                               |         12 |        558 |         17 |         49 |        624 |
| src\Containers\AboutEmfi                                                                                                     |          1 |         59 |          0 |          4 |         63 |
| src\Containers\AboutValues                                                                                                   |          1 |         58 |          0 |          4 |         62 |
| src\Containers\AsSeenIn                                                                                                      |          1 |         41 |          0 |          4 |         45 |
| src\Containers\ChartContainer                                                                                                |          1 |         31 |          0 |          4 |         35 |
| src\Containers\DefaultLayout                                                                                                 |          1 |         32 |          5 |          3 |         40 |
| src\Containers\HistoryChartContainer                                                                                         |          1 |        154 |          0 |          6 |        160 |
| src\Containers\MapContainer                                                                                                  |          2 |         57 |          6 |          8 |         71 |
| src\Containers\OurClients                                                                                                    |          1 |         12 |          1 |          4 |         17 |
| src\Containers\OurTeam                                                                                                       |          1 |          6 |          0 |          4 |         10 |
| src\Containers\OurValues                                                                                                     |          1 |          6 |          0 |          4 |         10 |
| src\Containers\SwipeCarousel                                                                                                 |          1 |        102 |          5 |          4 |        111 |
| src\Services                                                                                                                 |          2 |        130 |          5 |          9 |        144 |
| src\WaveScript                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| src\constants                                                                                                                |          8 |      2,012 |          6 |        121 |      2,139 |
| src\hooks                                                                                                                    |          1 |         22 |          7 |          2 |         31 |
| src\pages                                                                                                                    |         21 |      1,470 |        298 |        114 |      1,882 |
| src\pages (Files)                                                                                                            |          2 |         35 |          3 |          7 |         45 |
| src\pages\[lang]                                                                                                             |         18 |      1,425 |        294 |        104 |      1,823 |
| src\pages\[lang] (Files)                                                                                                     |          8 |        688 |        217 |         43 |        948 |
| src\pages\[lang]\intelligence                                                                                                |          3 |        302 |         11 |         22 |        335 |
| src\pages\[lang]\intelligence (Files)                                                                                        |          1 |         90 |          8 |         12 |        110 |
| src\pages\[lang]\intelligence\[details]                                                                                      |          2 |        212 |          3 |         10 |        225 |
| src\pages\[lang]\intelligence\[details] (Files)                                                                              |          1 |         70 |          0 |          5 |         75 |
| src\pages\[lang]\intelligence\[details]\[inteligencedetails]                                                                 |          1 |        142 |          3 |          5 |        150 |
| src\pages\[lang]\privacypolicy                                                                                               |          2 |         53 |         59 |         10 |        122 |
| src\pages\[lang]\privacypolicy (Files)                                                                                       |          1 |         34 |          0 |          5 |         39 |
| src\pages\[lang]\privacypolicy\[privacypolicy]                                                                               |          1 |         19 |         59 |          5 |         83 |
| src\pages\[lang]\services                                                                                                    |          5 |        382 |          7 |         29 |        418 |
| src\pages\[lang]\services (Files)                                                                                            |          1 |        111 |          0 |          5 |        116 |
| src\pages\[lang]\services\ourproducts                                                                                        |          2 |        131 |          2 |         15 |        148 |
| src\pages\[lang]\services\ourservices                                                                                        |          2 |        140 |          5 |          9 |        154 |
| src\pages\api                                                                                                                |          1 |         10 |          1 |          3 |         14 |
| src\styles                                                                                                                   |         28 |      4,049 |        116 |         95 |      4,260 |
| src\types                                                                                                                    |          1 |         12 |          0 |          1 |         13 |
| src\utils                                                                                                                    |          2 |        669 |          0 |          4 |        673 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                     | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\PHPDots\Desktop\emfi-nextjs\.eslintrc.json                                                                          | JSON               |          9 |          0 |          1 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\README.md                                                                               | Markdown           |         20 |          0 |         15 |         35 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\appspec-dev.yaml                                                                        | YAML               |          9 |          0 |          0 |          9 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\buildspec-dev.yml                                                                       | YAML               |         46 |          0 |          4 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\ecosytem.config.js                                                                      | JavaScript         |         22 |          2 |          1 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\helper\index.ts                                                                         | TypeScript         |         11 |          8 |          3 |         22 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\next.config.js                                                                          | JavaScript         |         13 |          1 |          2 |         16 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\package-lock.json                                                                       | JSON               |     10,844 |          0 |          1 |     10,845 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\package.json                                                                            | JSON               |         67 |          0 |          1 |         68 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\AssetManagement.svg                                                              | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\FintechAsAService.svg                                                            | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\Group 10808.svg                                                                  | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\SalesTrading.svg                                                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\WealthManagement.svg                                                             | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\aljazeeracolor.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\aljazeeragrey.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\banks.svg                                                                        | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\bloombergcolor.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\bloomberggrey.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\brokers.svg                                                                      | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\candidates.svg                                                                   | XML                |         86 |          0 |          1 |         87 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\chanthamhousecolor.svg                                                           | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\chanthamhousegrey.svg                                                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\clientconfidentiality.svg                                                        | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\conflictsofinterest.svg                                                          | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\corporatetreasuries.svg                                                          | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\customercomplaints.svg                                                           | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\customersuitability.svg                                                          | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebonds copy.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebonds.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebondsblue.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\efunds copy.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\efunds.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\efundsblue.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintel copy.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintel.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintelblue.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\email.svg                                                                        | XML                |          4 |          0 |          1 |          5 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\emfi-logo-blue.svg                                                               | XML                |         11 |          0 |          1 |         12 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealth copy.svg                                                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealth.svg                                                                      | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealthblue.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\features.json                                                                    | JSON               |     11,292 |          0 |          1 |     11,293 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\fintech.svg                                                                      | XML                |         10 |          0 |          1 |         11 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\france24color.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\france24grey.svg                                                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\gradientbg.svg                                                                   | XML                |         14 |          0 |          1 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\hegdefunds.svg                                                                   | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\insurancecompanies.svg                                                           | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\mutualfunds.svg                                                                  | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\offshoreinvestors.svg                                                            | XML                |         43 |          0 |          1 |         44 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\onshoreinvestors.svg                                                             | XML                |        147 |          0 |          1 |        148 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ouraproach.svg                                                                   | XML                |        230 |          0 |          1 |        231 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourclients.svg                                                                   | XML                |        137 |          0 |          1 |        138 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourservice.svg                                                                   | XML                |        224 |          0 |          1 |        225 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourteamplaceholder.svg                                                           | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourvalues.svg                                                                    | XML                |         49 |          0 |          1 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\pensionfunds.svg                                                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\reuterscolor.svg                                                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\reutersgrey.svg                                                                  | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\vercel.svg                                                                       | XML                |          4 |          0 |          0 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\voacolor.svg                                                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\voagrey.svg                                                                      | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\whyemfi.svg                                                                      | XML                |         62 |          0 |          1 |         63 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\banks.svg                                              | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\brokers.svg                                            | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\corporatetreasuries.svg                                | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\fintech.svg                                            | XML                |         10 |          0 |          1 |         11 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\hegdefunds.svg                                         | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\insurancecompanies.svg                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\mutualfunds.svg                                        | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\pensionfunds.svg                                       | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\linkedin.svg                                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\ourteamplaceholder.svg                            | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\offshoreinvestors.svg                                   | XML                |         43 |          0 |          1 |         44 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\onshoreinvestors.svg                                    | XML                |        147 |          0 |          1 |        148 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\whyemfi.svg                                             | XML                |         62 |          0 |          1 |         63 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\AssetManagement.svg                                                          | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FintechAsAService.svg                                                        | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\1.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\10.svg                                                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\2.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\3.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\4.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\5.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\6.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\7.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\8.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\9.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\Footer.svg                                                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\appstore.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\bloomberg.svg                                                 | XML                |         47 |          1 |          1 |         49 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\facebook.svg                                                  | XML                |         41 |          1 |          1 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\linkedin.svg                                                  | XML                |         44 |          1 |          1 |         46 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\playstore.svg                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\twitter.svg                                                   | XML                |         46 |          1 |          1 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\arrow-right.svg                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\download icon.svg                          | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\facebbok.svg                               | XML                |          7 |          0 |          1 |          8 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\linkedin.svg                               | XML                |          7 |          0 |          1 |          8 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\twitter.svg                                | XML                |          7 |          0 |          1 |          8 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence\arrow-down.svg                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Legal - Cookies Policy\checkbox blue.svg                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Legal - Cookies Policy\checkbox light grey.svg                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesTrading.svg                                                             | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Asset Management.svg                                | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Fintech As-A-Service.svg                            | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Sales & Trading.svg                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Wealth Management.svg                               | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\ebonds blue.svg                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\efunds blue.svg                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\eintel blue.svg                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\ewealth blue.svg                                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Waves.svg                                                                    | XML                |         56 |          0 |          1 |         57 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\WealthManagement.svg                                                         | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\activepagination.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\app-store-svgrepo-com.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\close-icon.svg                                                               | XML                |          5 |          0 |          1 |          6 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\downArrow.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\dropdown arrow.svg                                                           | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ebonds.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ebondsblue.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\efunds.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\efundsblue.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\eintel.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\eintelblue.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-logo-blue.svg                                                           | XML                |         11 |          0 |          1 |         12 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-logo.svg                                                                | XML                |         11 |          0 |          1 |         12 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-text.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ewealth.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ewealthblue.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\facebook-svgrepo-com.svg                                                     | XML                |         41 |          1 |          1 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\appstore.svg                                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\bloomberg.svg                                                     | XML                |         47 |          1 |          1 |         49 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\facebook.svg                                                      | XML                |         41 |          1 |          1 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\footer-bg.svg                                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\linkedin.svg                                                      | XML                |         44 |          1 |          1 |         46 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\playstore.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\twitter.svg                                                       | XML                |         46 |          1 |          1 |         48 |
