Date : 2023-01-17 12:02:47
Directory : c:\Users\PHPDots\Desktop\emfi-nextjs
Total : 251 files,  46881 codes, 208 comments, 687 blanks, all 47776 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| filename                                                                                                                     | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\PHPDots\Desktop\emfi-nextjs\.eslintrc.json                                                                          | JSON               |          9 |          0 |          1 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\Dockerfile                                                                              | Docker             |         19 |         14 |          6 |         39 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\README.md                                                                               | Markdown           |         20 |          0 |         15 |         35 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\ecosytem.config.js                                                                      | JavaScript         |         22 |          2 |          1 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\helper\index.ts                                                                         | TypeScript         |          5 |          8 |          2 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\next.config.js                                                                          | JavaScript         |         11 |          2 |          2 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\package-lock.json                                                                       | JSON               |     10,534 |          0 |          1 |     10,535 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\package.json                                                                            | JSON               |         56 |          0 |          1 |         57 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebonds.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\efunds.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintel.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\emfi-logo-blue.svg                                                               | XML                |         11 |          0 |          1 |         12 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealth.svg                                                                      | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\features.json                                                                    | JSON               |     11,292 |          0 |          1 |     11,293 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\gradientbg.svg                                                                   | XML                |         14 |          0 |          1 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\public\vercel.svg                                                                       | XML                |          4 |          0 |          0 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\Group 10808.svg                                           | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\aljazeera color.svg                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\aljazeera grey.svg                                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\bloomberg color.svg                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\bloomberg grey.svg                                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\chantham house color.svg                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\chantham house grey.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\france 24 color.svg                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\france 24 grey.svg                                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\reuters color.svg                                         | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\voa color.svg                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\voa grey.svg                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\banks.svg                                              | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\brokers.svg                                            | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\corporatetreasuries.svg                                | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\fintech.svg                                            | XML                |         10 |          0 |          1 |         11 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\hegdefunds.svg                                         | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\insurancecompanies.svg                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\mutualfunds.svg                                        | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\pensionfunds.svg                                       | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\candidates.svg                                    | XML                |         86 |          0 |          1 |         87 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\email.svg                                         | XML                |          4 |          0 |          1 |          5 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\linkedin.svg                                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\ourteamplaceholder.svg                            | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\ourvalues.svg                                     | XML                |         49 |          0 |          1 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\clientconfidentiality.svg                             | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\conflictsofinterest.svg                               | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\customercomplaints.svg                                | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\customersuitability.svg                               | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\offshoreinvestors.svg                                   | XML                |         43 |          0 |          1 |         44 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\onshoreinvestors.svg                                    | XML                |        147 |          0 |          1 |        148 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\whyemfi.svg                                             | XML                |         62 |          0 |          1 |         63 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\AssetManagement.svg                                                          | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FintechAsAService.svg                                                        | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\1.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\10.svg                                                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\2.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\3.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\4.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\5.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\6.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\7.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\8.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\9.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\Footer.svg                                                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\appstore.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\bloomberg.svg                                                 | XML                |         47 |          1 |          1 |         49 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\facebook.svg                                                  | XML                |         41 |          1 |          1 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\linkedin.svg                                                  | XML                |         44 |          1 |          1 |         46 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\playstore.svg                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\twitter.svg                                                   | XML                |         46 |          1 |          1 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\arrow-right.svg                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\download icon.svg                          | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\facebbok.svg                               | XML                |          7 |          0 |          1 |          8 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\linkedin.svg                               | XML                |          7 |          0 |          1 |          8 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\twitter.svg                                | XML                |          7 |          0 |          1 |          8 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence\arrow-down.svg                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Legal - Cookies Policy\checkbox blue.svg                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Legal - Cookies Policy\checkbox light grey.svg                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ouraproach.svg                                                 | XML                |        230 |          0 |          1 |        231 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ourclients.svg                                                 | XML                |        137 |          0 |          1 |        138 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ourservice.svg                                                 | XML                |        224 |          0 |          1 |        225 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesTrading.svg                                                             | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Asset Management.svg                                | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Fintech As-A-Service.svg                            | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Sales & Trading.svg                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\Wealth Management.svg                               | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\ebonds blue.svg                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\efunds blue.svg                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\eintel blue.svg                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Services Icons and logos\ewealth blue.svg                                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Waves.svg                                                                    | XML                |         56 |          0 |          1 |         57 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\WealthManagement.svg                                                         | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\activepagination.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\app-store-svgrepo-com.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\close-icon.svg                                                               | XML                |          5 |          0 |          1 |          6 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\downArrow.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\dropdown arrow.svg                                                           | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ebonds.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ebondsblue.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\efunds.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\efundsblue.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\eintel.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\eintelblue.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-logo-blue.svg                                                           | XML                |         11 |          0 |          1 |         12 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-logo.svg                                                                | XML                |         11 |          0 |          1 |         12 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\emfi-text.svg                                                                | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ewealth.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\ewealthblue.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\facebook-svgrepo-com.svg                                                     | XML                |         41 |          1 |          1 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\appstore.svg                                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\bloomberg.svg                                                     | XML                |         47 |          1 |          1 |         49 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\facebook.svg                                                      | XML                |         41 |          1 |          1 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\footer-bg.svg                                                     | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\linkedin.svg                                                      | XML                |         44 |          1 |          1 |         46 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\playstore.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\footer-img\twitter.svg                                                       | XML                |         46 |          1 |          1 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\gradientbg.svg                                                               | XML                |         14 |          0 |          1 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\linkedin-svgrepo-com.svg                                                     | XML                |         46 |          1 |          1 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\logo-google-playstore-svgrepo-com.svg                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\multiple group SVG - Copy (1).svg                                            | XML                |          1 |          0 |          1 |          2 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\multiple group SVG.svg                                                       | XML                |         65 |          0 |          1 |         66 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\pagination.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\search.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\topArrow.svg                                                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\twitter-svgrepo-com.svg                                                      | XML                |         48 |          1 |          1 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\up arrow.svg                                                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\waves2.svg                                                                   | XML                |         51 |          0 |          1 |         52 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianComponent.tsx                                | TypeScript React   |         48 |          1 |          5 |         54 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianItemComponent.tsx\AccordianItemComponent.tsx | TypeScript React   |         25 |          0 |          4 |         29 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\AnimatedComponent.tsx                                  | TypeScript React   |         25 |         17 |          8 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\AnimatedContainer.tsx                                  | TypeScript React   |         23 |         18 |          8 |         49 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\Points.tsx                                             | TypeScript React   |         78 |          1 |         10 |         89 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Badge\Badge.tsx                                                          | TypeScript React   |         14 |          0 |          4 |         18 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\CustomCard\CustomCard.tsx                                          | TypeScript React   |         16 |          0 |          5 |         21 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\CustomPriceCard\CustomPriceCard.tsx                                | TypeScript React   |         44 |          0 |          4 |         48 |
